'BSD','NYSE'    
'BUI','NYSE'    
'BLK','NYSE'    
'BGX','NYSE'    
'BSL','NYSE'    
'BLT','NYSE'    
'BXG','NYSE'    
'BXC','NYSE'    
'BTH','NYSE'    
'BWP','NYSE'    
'BA','NYSE'     
'BZ','NYSE'     
'BAH','NYSE'    
'BWA','NYSE'    
'SAM','NYSE'    
'BXP','NYSE'    
'BSX','NYSE'    
'BTF','NYSE'    
'TEU','NYSE'    
'BYD','NYSE'    
'BP','NYSE'     
'BPT','NYSE'    
'BPZ','NYSE'    
'BRC','NYSE'    
'BDN','NYSE'    
'BDN-C','NYSE'  
'BDN-D','NYSE'  
'BTM','NYSE'    
'BTM-C','NYSE'  
'BRE','NYSE'    
'BRE-D','NYSE'  
'BRFS','NYSE'   
'BPI','NYSE'    
'BGG','NYSE'    
'EAT','NYSE'    
'BCO','NYSE'    
'BMY','NYSE'    
'BMY-','NYSE'   
'BRS','NYSE'    
'BR','NYSE'     
'BKD','NYSE'    
'BAM','NYSE'    
'INF','NYSE'    
'BIP','NYSE'    
'BPO','NYSE'    
'BRP','NYSE'    
'BRO','NYSE'    
'BF-A','NYSE'   
'BF-B','NYSE'   
'BWS','NYSE'    
'BRT','NYSE'    
'BC','NYSE'     
'BT','NYSE'     
'BPL','NYSE'    
'BKI','NYSE'    
'BKE','NYSE'    
'BBW','NYSE'    
'BG','NYSE'     
'CJES','NYSE'   
'BCR','NYSE'    
'GYB','NYSE'    
'PFH','NYSE'    
'CAB','NYSE'    
'CVC','NYSE'    
'CBT','NYSE'    
'COG','NYSE'    
'CACI','NYSE'   
'CAE','NYSE'    
'CAP','NYSE'    
'DVR','NYSE'    
'CHY','NYSE'    
'CHI','NYSE'    
'CHW','NYSE'    
'CGO','NYSE'    
'CSQ','NYSE'    
'CCC','NYSE'    
'CWT','NYSE'    
'CALX','NYSE'   
'ELY','NYSE'    
'CPE','NYSE'    
'CPN','NYSE'    
'CBM','NYSE'    
'CPT','NYSE'    
'CCJ','NYSE'    
'CIS','NYSE'    
'CAM','NYSE'    
'CPB','NYSE'    
'CCG','NYSE'    
'CM','NYSE'     
'CNI','NYSE'    
'CNQ','NYSE'    
'CP','NYSE'     
'CAJ','NYSE'    
'CMN','NYSE'    
'COF','NYSE'    
'COF-WS','NYSE' 
'COF-B','NYSE'  
'CSU','NYSE'    
'CT','NYSE'     
'CSE','NYSE'    
'LSE','NYSE'    
'LSE-A','NYSE'  
'CMO','NYSE'    
